avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
74,,,7.137,7.137,16.588,189,4917647,,110,,,16.588,,,2015-05-25 17:28:32,815,2381.0,9880,834.0,61625.43,8885.761,0.0,8634.768,
78,,,8.328,8.328,14.329,207,4917647,,98,,,14.329,,,2016-10-09 16:18:44,250,1184.0,4601,252.0,31506.87,3807.076,0.0,3783.041,
76,,,9.261,9.261,14.901,202,4917647,,111,,,14.901,,,2016-09-04 09:41:08,360,1752.0,6312,319.0,49717.7,771755.397,0.0,5368.279,
80,,,7.738,7.738,14.151,189,4917647,,112,,,14.151,,,2015-05-30 22:38:00,473,2435.0,11079,481.0,68341.13,9253.943,0.0,8831.951,
82,,,9.362,9.362,11.456,189,4917647,,95,,,11.456,,,2014-11-15 16:31:16,0,1282.0,4720,0.0,32175.69,3436.898,0.0,3436.898,
82,,178,9.803,9.803,12.55,207,4917647,0.499,104,,344,12.55,200,400,2016-09-21 18:13:28,0,692.0,5366,0.0,38175.45,3895.411,,3894.412,26.8
78,,,8.134,8.134,13.628,189,4917647,,103,,,13.628,,,2015-05-10 14:33:50,486,2837.0,12361,493.0,79329.96,9760.897,0.0,9752.602,
89,150,166,9.586,9.586,12.326,207,4917647,0.468,107,172,313,12.326,187,400,2016-10-06 07:00:39,1,598.0,5349,0.0,34483.88,3603.291,,3597.297,21.7
88,,190,10.067,10.067,11.579,324,4917647,0.861,103,,260,11.579,208,242,2017-08-31 07:24:58,2,688.0,5324,1.0,36573.45,3632.998,,3632.998,74.2
85,,174,9.739,9.739,11.738,202,4917647,0.964,107,,289,11.738,193,200,2016-02-18 07:49:23,0,672.0,5503,0.0,37809.47,3884.389,,3882.095,99.4
71,,,7.526,7.526,16.844,189,4917647,,114,,,16.844,,,2014-06-08 09:29:24,510,1726.0,6796,545.0,45932.44,6108.546,0.0,6103.544,
85,,203,10.447,10.447,11.318,189,4917647,1.024,92,,266,11.318,205,200,2015-07-17 06:20:09,0,364.0,2565,0.0,18832.11,1802.614,,1802.614,51.6
81,,,7.994,7.994,17.761,242,4917647,,122,,,17.761,,,2016-10-30 11:46:32,1016,3287.0,12880,1074.0,85405.1,587702.393,0.0,10684.303,
78,,,10.236,10.236,13.44,189,4917647,,99,,,13.44,,,2014-01-29 13:37:32,0,1091.0,3871,2.0,30792.17,3032.198,0.0,3008.199,
77,,,7.492,7.492,17.459,189,4917647,,123,,,17.459,,,2014-09-08 06:15:50,552,1823.0,7985,563.0,48212.1,6451.172,0.0,6435.203,
77,,,8.119,8.119,10.961,193,4917647,,96,,,10.961,,,2015-09-02 19:39:07,1,993.0,4617,2.0,29419.42,3623.548,0.0,3623.548,
78,,,7.471,7.471,15.207,284,4917647,,107,,,15.207,,,2017-02-24 10:25:28,850,2780.0,11801,875.0,74568.8,10474.08,0.0,9981.156,
